timestamp,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-12-31,6.5,0.0,17.0,0.0,,332.0,3.3,33.3,1028.7,
2019-01-01,7.0,1.0,15.0,0.0,,8.0,4.8,33.3,1029.1,
2019-01-02,6.1,2.0,13.0,0.0,,1.0,6.1,37.0,1026.2,
2019-01-03,4.2,-1.0,13.0,0.0,,348.0,4.4,35.2,1028.9,
2019-01-04,4.0,-2.0,12.0,0.0,,14.0,5.7,33.3,1030.6,
2019-01-05,6.0,0.0,14.0,0.0,,358.0,6.1,31.5,1029.0,
2019-01-06,8.0,1.0,16.0,0.0,,355.0,7.7,37.0,1025.7,
2019-01-07,5.5,0.0,13.0,0.0,,356.0,5.4,35.2,1028.3,
2019-01-08,5.7,1.0,12.0,0.0,,356.0,9.0,33.3,1026.5,
2019-01-09,7.3,1.0,15.0,0.0,,12.0,5.1,29.6,1016.2,
2019-01-10,5.4,1.0,12.0,0.0,,300.0,10.1,29.6,1017.4,
2019-01-11,2.3,-3.0,9.0,0.0,,0.0,6.3,33.3,1023.6,
2019-01-12,4.1,-2.0,11.0,0.0,,4.0,9.7,33.3,1026.7,
2019-01-13,6.8,1.0,14.0,0.0,,358.0,8.9,31.5,1023.1,
2019-01-14,10.3,5.0,16.0,0.0,,3.0,9.8,31.5,1018.2,
2019-01-15,7.0,1.0,15.0,0.0,,342.0,3.6,33.3,1021.2,
2019-01-16,7.0,2.0,14.0,0.0,,323.0,4.1,31.5,1018.4,
2019-01-17,8.7,5.0,13.0,12.0,,1.0,3.7,31.5,1016.6,
2019-01-18,6.3,4.0,9.0,0.0,,356.0,7.5,31.5,1017.7,
2019-01-19,5.5,0.0,12.0,7.1,,343.0,4.1,31.5,1014.7,
2019-01-20,6.7,4.0,10.0,13.2,,14.0,3.6,40.8,1010.6,
2019-01-21,5.3,0.0,12.0,0.0,,349.0,5.0,31.5,1016.3,
2019-01-22,4.2,-1.0,10.0,0.0,,351.0,8.8,31.5,1012.2,
2019-01-23,6.7,3.0,12.0,0.0,,280.0,14.6,31.5,999.7,
2019-01-24,7.4,2.0,13.0,0.0,,346.0,17.6,44.5,1003.7,
2019-01-25,5.5,-1.0,16.0,0.0,,21.0,4.8,31.5,1011.6,
2019-01-26,8.0,1.0,16.0,0.0,,305.0,8.6,29.6,1016.1,
2019-01-27,8.3,3.0,15.0,0.0,,351.0,11.9,42.6,1008.0,
